date, pm25, pm10, o3, no2, so2, co
April-20,72,34,10,8, , 
April-20,75,47,29,13, , 
April-20,90,52,20,13, , 
April-20,114,46,33,7, , 
April-20,97,51,23,9, , 
April-20,108,40,18,7, , 
May-20,87,30,16,4, , 
May-20,62,33,12,2, , 
May-20,60,27,10,1, , 
May-20,58,30,15,3, , 
May-20,68,32,16,5, , 
May-20,70,28,11,3, , 
May-20,65,24,10,2, , 
May-20,56,25,5,3, , 
May-20,52,17,7,3, , 
May-20,37,16,8,4, , 
May-20,34,25,5,4, , 
May-20,49,37,22,7, , 
May-20,76,23,11,3, , 
May-20,57,25,12,3, , 
May-20,54,22,9,3, , 
May-20,53,24,9,2, , 
May-20,58,23,9,3, , 
May-20,57,25,10,4, , 
May-20,55,20,9,4, , 
May-20,49,24,9,3, , 
May-20,56,28,10,3, , 
May-20,61,40,17,5, , 
May-20,85,47,11,5, , 
May-20,85,46,9,5, , 
May-20,87,39,6,7, , 
May-20,91,39,10,8, , 
May-20,92,24,10,7, , 
May-20,53,23,12,6, , 
May-20,50,26,15,7, , 
May-20,54,18,10,6, , 
May-20,42,18,8,4, , 
June-20,47,23,11,4, , 
June-20,48,18,9,3, , 
June-20,43,20,8,5, , 
June-20,48,24,9,7, , 
June-20,53,22,4,7, , 
June-20,48,20,8,5, , 
June-20,39,17,7,4, , 
June-20,32,16,6,4, , 
June-20,34,21,4,5, , 
June-20,45,18,5,5, , 
June-20,40,23,12,6, , 
June-20,54,22,13,7, , 
June-20,46,21,16,5, , 
June-20,47,21,13,4, , 
June-20,52,18,5,5, , 
June-20,42,17,6,5, , 
June-20,42,21,4,7, , 
June-20,49,25,8,9, , 
June-20,61,23,6,7, , 
June-20,59,23,13,6, , 
June-20,52,22,15,5, , 
June-20,52,26,8,8, , 
June-20,60,25,16,9, , 
June-20,60,26,15,7, , 
June-20,61,25,12,7, , 
June-20,54,20,7,6, , 
June-20,48,22,12,8, , 
June-20,54,19,11,6, , 
June-20,50,21,11,5, , 
June-20,48,20,9,7, , 
July-20,48,21,8,5, , 
January-20,74,46,11,15,1, 
January-20,93,52,12,18,1, 
January-20,102,56,16,18, , 
January-20,121,61,15,17, , 
January-20,130,66,14,27,1, 
January-20,135,69,15,22,1, 
January-20,139,71,13,22,1, 
January-20,149,70,18,21,1, 
